update,env_steps,policy_loss,value_loss,entropy,clip_fraction,recent_avg_return,recent_severe_miss_rate,recent_false_warning_rate,recent_avg_warning_step_on_severe,recent_avg_watch_step_on_potential,recent_safety_score,validation_avg_return,validation_severe_miss_rate,validation_false_warning_rate,validation_avg_warning_step_on_severe,validation_avg_watch_step_on_potential,validation_safety_score,device,artifact_prefix
28,7168,0.007579304277896881,3786.366626739502,0.699669361114502,0.0244140625,-5.704999675750733,0.10526315789473684,0.09523809523809523,6.9411764705882355,3.7948717948717947,-42.04585180607654,,,,,,,cpu,ppo_lstm_seed77
29,7424,-0.003691250109113753,499.81940746307373,0.6520376950502396,0.0439453125,-3.10500018119812,0.1,0.05405405405405406,6.666666666666667,3.9302325581395348,-35.807702883900824,,,,,,,cpu,ppo_lstm_seed77
30,7680,0.00702223414555192,6222.571437835693,0.5619544517248869,0.0556640625,-13.865000486373901,0.2,0.07692307692307693,6.8125,3.95,-77.71115433252774,,,,,,,cpu,ppo_lstm_seed77
31,7936,-0.004994967021048069,2754.6155552864075,0.44628649577498436,0.0185546875,-11.280000452995301,0.17391304347826086,0.07894736842105263,6.842105263157895,4.026315789473684,-67.40128191752619,,,,,,,cpu,ppo_lstm_seed77
32,8192,0.0004022370558232069,1412.5095138549805,0.48661372624337673,0.0087890625,-11.920000343322753,0.18181818181818182,0.10526315789473684,6.833333333333333,4.256410256410256,-71.72861278351414,,,,,,,cpu,ppo_lstm_seed77
33,8448,0.0016200686804950237,842.3744583129883,0.531231576576829,0.0126953125,-6.280000295639038,0.14285714285714285,0.1111111111111111,6.555555555555555,4.357142857142857,-54.692698708337446,,,,,,,cpu,ppo_lstm_seed77
34,8704,0.0027363384142518044,627.9813766479492,0.5409371666610241,0.044921875,-4.730000443458557,0.13636363636363635,0.09523809523809523,6.578947368421052,4.114285714285714,-50.40099611445422,,,,,,,cpu,ppo_lstm_seed77
35,8960,-0.009253238793462515,3065.408555984497,0.6143458560109138,0.0166015625,6.185000014305115,0.041666666666666664,0.08333333333333333,6.782608695652174,4.025,-10.48166665236155,,,,,,,cpu,ppo_lstm_seed77
36,9216,-0.0023795822635293007,573.3842868804932,0.5417029410600662,0.0322265625,7.469999780654907,0.037037037037037035,0.02631578947368421,6.653846153846154,3.7714285714285714,-4.956900804140414,,,,,,,cpu,ppo_lstm_seed77
37,9472,-0.006353189703077078,688.1862258911133,0.48276958987116814,0.0244140625,12.175000023841857,0.037037037037037035,0.0,6.615384615384615,3.4285714285714284,1.0638889127307465,,,,,,,cpu,ppo_lstm_seed77
38,9728,-0.0063223185716196895,1008.0248794555664,0.46403330378234386,0.0146484375,13.095000162124634,0.03225806451612903,0.0,6.4,3.21875,3.4175808072859244,,,,,,,cpu,ppo_lstm_seed77
39,9984,0.0029071345925331116,511.8657751083374,0.47615124471485615,0.0146484375,14.200000128746034,0.037037037037037035,0.0,6.230769230769231,3.55,3.088889017634923,,,,,,,cpu,ppo_lstm_seed77
40,10240,0.00032220594584941864,477.19035720825195,0.4236628543585539,0.0,20.920000343322755,0.0,0.0,5.608695652173913,3.4285714285714284,20.920000343322755,18.745312500000004,0.0,0.0,3.8333333333333335,4.3478260869565215,18.745312500000004,cpu,ppo_lstm_seed77
41,10496,-0.012123542837798595,753.1942539215088,0.40731701999902725,0.0791015625,21.01500042438507,0.0,0.0,5.428571428571429,3.0238095238095237,21.01500042438507,,,,,,,cpu,ppo_lstm_seed77
42,10752,-0.0024729249998927116,593.7367334365845,0.30430392920970917,0.001953125,16.905000071525574,0.0,0.0,5.761904761904762,3.5609756097560976,16.905000071525574,,,,,,,cpu,ppo_lstm_seed77
43,11008,-0.0021364372223615646,1015.2084693908691,0.3102389983832836,0.0009765625,16.68500002861023,0.0,0.0,5.8,3.6578947368421053,16.68500002861023,,,,,,,cpu,ppo_lstm_seed77
44,11264,-0.0009604096412658691,711.0474758148193,0.32922615110874176,0.0,19.765000195503234,0.0,0.0,5.68,4.108108108108108,19.765000195503234,,,,,,,cpu,ppo_lstm_seed77
45,11520,-0.00012184120714664459,1457.54732131958,0.2893996052443981,0.0,24.945000290870667,0.0,0.0,5.5,4.290322580645161,24.945000290870667,,,,,,,cpu,ppo_lstm_seed77
46,11776,-0.007196718594059348,1846.3270111083984,0.2785109970718622,0.01953125,23.4800005197525,0.0,0.02857142857142857,5.314285714285714,4.266666666666667,22.051429091181074,,,,,,,cpu,ppo_lstm_seed77
47,12032,-0.002084082458168268,551.5280456542969,0.24756071344017982,0.001953125,26.095000648498534,0.0,0.03225806451612903,5.03125,4.135135135135135,24.482097422692082,,,,,,,cpu,ppo_lstm_seed77
48,12288,-0.0010625369613990188,802.1299362182617,0.24740579910576344,0.0009765625,20.505000519752503,0.0,0.030303030303030304,5.035714285714286,4.333333333333333,18.989849004600988,,,,,,,cpu,ppo_lstm_seed77
49,12544,-0.0009761108085513115,625.6688060760498,0.2765774764120579,0.0048828125,19.385000290870668,0.0,0.030303030303030304,4.826086956521739,4.159090909090909,17.869848775719152,,,,,,,cpu,ppo_lstm_seed77
50,12800,0.0016572866588830948,745.940845489502,0.2726108208298683,0.0,16.97500020503998,0.0,0.02857142857142857,4.888888888888889,3.893617021276596,15.54642877646855,,,,,,,cpu,ppo_lstm_seed77
51,13056,-0.0009209599811583757,1087.6134300231934,0.2734362222254276,0.001953125,21.145000104904174,0.0,0.0,4.9523809523809526,3.723404255319149,21.145000104904174,,,,,,,cpu,ppo_lstm_seed77
52,13312,-0.0017984472215175629,706.5413188934326,0.24537234287708998,0.00390625,25.220000238418578,0.0,0.0,5.153846153846154,3.688888888888889,25.220000238418578,,,,,,,cpu,ppo_lstm_seed77
53,13568,0.0031578242778778076,182.3961295261979,0.2149791233241558,0.005859375,23.81500011920929,0.0,0.0,5.318181818181818,3.5476190476190474,23.81500011920929,,,,,,,cpu,ppo_lstm_seed77
54,13824,-0.0009555387077853084,907.3705406188965,0.23116644192487001,0.001953125,24.60500002861023,0.0,0.0,5.045454545454546,3.55,24.60500002861023,,,,,,,cpu,ppo_lstm_seed77
55,14080,-0.0006603728979825974,982.6528358459473,0.21445089299231768,0.0,26.300000052452088,0.0,0.0,4.9523809523809526,3.2439024390243905,26.300000052452088,,,,,,,cpu,ppo_lstm_seed77
56,14336,-0.00015371409244835377,557.8789948225021,0.1668670205399394,0.001953125,24.85999993801117,0.0,0.0,4.588235294117647,3.55,24.85999993801117,,,,,,,cpu,ppo_lstm_seed77
57,14592,-0.0012121405452489853,651.2920045852661,0.20024207141250372,0.001953125,27.54500008583069,0.0,0.0,4.578947368421052,3.261904761904762,27.54500008583069,,,,,,,cpu,ppo_lstm_seed77
58,14848,0.00039854273200035095,488.14516258239746,0.2507327953353524,0.017578125,29.17500012397766,0.0,0.0,4.619047619047619,3.073170731707317,29.17500012397766,,,,,,,cpu,ppo_lstm_seed77
59,15104,0.006154193077236414,1064.9001731872559,0.33208946511149406,0.0322265625,28.74500036239624,0.0,0.027777777777777776,4.875,3.3,27.35611147350735,,,,,,,cpu,ppo_lstm_seed77
60,15360,-0.002435743808746338,334.80153369903564,0.35716166347265244,0.0009765625,23.100000076293945,0.0,0.027777777777777776,5.157894736842105,3.688888888888889,21.711111187405056,,,,,,,cpu,ppo_lstm_seed77
61,15616,-0.0012684669345617294,638.4108514785767,0.34508825093507767,0.005859375,24.0400000333786,0.0,0.034482758620689655,5.0476190476190474,4.0,22.315862102344116,,,,,,,cpu,ppo_lstm_seed77
62,15872,-0.00281293923035264,476.3201026916504,0.3134659267961979,0.0166015625,21.935000081062316,0.0,0.029411764705882353,4.888888888888889,3.9166666666666665,20.4644118457682,,,,,,,cpu,ppo_lstm_seed77
63,16128,-0.0020510517060756683,1114.760793685913,0.28530039079487324,0.0,21.935000243186952,0.0,0.0625,5.136363636363637,3.8260869565217392,18.810000243186952,,,,,,,cpu,ppo_lstm_seed77
64,16384,0.0006430908106267452,553.6455488204956,0.2585908090695739,0.0732421875,22.445000166893006,0.0,0.03125,5.25,3.7291666666666665,20.882500166893006,,,,,,,cpu,ppo_lstm_seed77
65,16640,0.0030647681560367346,3161.411268234253,0.26051993016153574,0.0,22.115000200271606,0.043478260869565216,0.030303030303030304,5.5,3.2045454545454546,7.556370424250526,,,,,,,cpu,ppo_lstm_seed77
66,16896,-0.00890630017966032,3323.592487335205,0.2282459195703268,0.0068359375,18.4000000667572,0.08,0.03125,5.695652173913044,3.3488372093023258,-7.162499933242799,,,,,,,cpu,ppo_lstm_seed77
67,17152,-0.0047502340748906136,227.8810110092163,0.22026580851525068,0.025390625,20.1100000333786,0.07407407407407407,0.04,6.16,3.4791666666666665,-4.112222188843621,,,,,,,cpu,ppo_lstm_seed77
68,17408,-0.000779465539380908,802.2753381729126,0.1868965569883585,0.0,22.060000228881837,0.08333333333333333,0.0,5.818181818181818,3.5686274509803924,-2.9399997711181634,,,,,,,cpu,ppo_lstm_seed77
69,17664,-0.0012751724570989609,869.4841728210449,0.18317666836082935,0.0,20.31500009059906,0.08,0.0,5.695652173913044,3.877551020408163,-3.68499990940094,,,,,,,cpu,ppo_lstm_seed77
70,17920,-0.0016332631930708885,344.0401382446289,0.19985637161880732,0.013671875,24.685000262260438,0.04,0.0,5.5,3.836734693877551,12.685000262260438,,,,,,,cpu,ppo_lstm_seed77
71,18176,0.004215939901769161,376.11454701423645,0.2947770971804857,0.03125,26.030000305175783,0.0,0.0,5.45,3.5714285714285716,26.030000305175783,,,,,,,cpu,ppo_lstm_seed77
72,18432,-0.003350672544911504,1204.617444038391,0.24240064062178135,0.0,22.27500009059906,0.0,0.02631578947368421,5.2,3.738095238095238,20.959210616914852,,,,,,,cpu,ppo_lstm_seed77
73,18688,-0.0023932326585054398,506.0429973602295,0.2637761076912284,0.0,21.07499990940094,0.0,0.02702702702702703,5.6521739130434785,4.025,19.72364855804959,,,,,,,cpu,ppo_lstm_seed77
74,18944,-0.0018541640602052212,389.96757221221924,0.29147361032664776,0.03125,18.159999771118166,0.0,0.02702702702702703,5.954545454545454,4.317073170731708,16.808648419766815,,,,,,,cpu,ppo_lstm_seed77
75,19200,-0.0009274643380194902,831.4473476409912,0.24680119846016169,0.0009765625,19.129999866485594,0.0,0.02857142857142857,5.72,4.275,17.701428437914167,,,,,,,cpu,ppo_lstm_seed77
76,19456,-0.0021602045744657516,817.8357067108154,0.27126279287040234,0.00390625,20.590000162124635,0.0,0.03225806451612903,5.703703703703703,3.7857142857142856,18.977096936318183,,,,,,,cpu,ppo_lstm_seed77
77,19712,-0.0002049468457698822,475.9187068939209,0.23037802800536156,0.0,23.320000104904175,0.0,0.0,5.592592592592593,3.75,23.320000104904175,,,,,,,cpu,ppo_lstm_seed77
78,19968,-0.0018293855246156454,643.1364291906357,0.2182130664587021,0.0087890625,21.920000114440917,0.0,0.0,5.136363636363637,3.642857142857143,21.920000114440917,,,,,,,cpu,ppo_lstm_seed77
79,20224,-0.00015569385141134262,427.32658672332764,0.20994005911052227,0.0,24.940000200271605,0.0,0.0,5.0,3.441860465116279,24.940000200271605,18.307812500000004,0.0,0.0,3.8333333333333335,4.3478260869565215,18.307812500000004,cpu,ppo_lstm_seed77
80,20480,-0.00019390322268009186,806.0149002075195,0.22697521466761827,0.0,26.415000376701354,0.0,0.0,4.958333333333333,3.642857142857143,26.415000376701354,,,,,,,cpu,ppo_lstm_seed77
81,20736,-0.0008382811211049557,561.7588329315186,0.2296054158359766,0.0,28.01000024318695,0.0,0.0,4.916666666666667,3.8333333333333335,28.01000024318695,,,,,,,cpu,ppo_lstm_seed77
82,20992,-0.0008339136838912964,905.3519668579102,0.23547082394361496,0.0,30.49500044822693,0.0,0.0,5.0,3.324324324324324,30.49500044822693,,,,,,,cpu,ppo_lstm_seed77
83,21248,-0.000482325442135334,495.3741669654846,0.22099953424185514,0.0009765625,31.04500060558319,0.0,0.0,5.111111111111111,3.225,31.04500060558319,,,,,,,cpu,ppo_lstm_seed77
84,21504,0.0015779193490743637,529.1588706970215,0.20139903854578733,0.0068359375,25.895000405311585,0.0,0.02564102564102564,5.136363636363637,3.0,24.612949123260304,,,,,,,cpu,ppo_lstm_seed77
85,21760,-0.0036251979181542993,1046.8247623443604,0.1908206408843398,0.001953125,20.835000314712524,0.0,0.046511627906976744,5.235294117647059,2.9,18.509418919363686,,,,,,,cpu,ppo_lstm_seed77
86,22016,-0.0017512217164039612,552.824384689331,0.17903028149157763,0.0,21.58000030040741,0.0,0.046511627906976744,5.277777777777778,3.1025641025641026,19.25441890505857,,,,,,,cpu,ppo_lstm_seed77
