update,env_steps,policy_loss,value_loss,entropy,clip_fraction,recent_avg_return,recent_severe_miss_rate,recent_false_warning_rate,recent_avg_warning_step_on_severe,recent_avg_watch_step_on_potential,recent_safety_score,validation_avg_return,validation_severe_miss_rate,validation_false_warning_rate,validation_avg_warning_step_on_severe,validation_avg_watch_step_on_potential,validation_safety_score,device,artifact_prefix,curriculum_stage,normalize_observations
89,279549,-0.005167441919184057,165.40411567687988,0.11601265030913055,0.006357450169161893,34.410000514984134,0.0,0.0,4.8076923076923075,3.638888888888889,34.410000514984134,,,,,,,cuda,ppo_lstm_seed99,full,1
90,282690,0.004801610055437777,134.316260099411,0.1020517498254776,0.01293875413830392,35.32500054359436,0.0,0.0,4.76,4.194444444444445,35.32500054359436,,,,,,,cuda,ppo_lstm_seed99,full,1
91,285831,-0.0011755692612496205,150.08110189437866,0.10205963905900717,0.004969556088326499,37.45000061988831,0.0,0.0,4.653846153846154,3.8684210526315788,37.45000061988831,,,,,,,cuda,ppo_lstm_seed99,full,1
92,288972,0.003889417217578739,166.8016083240509,0.10783339384943247,0.01996776584564941,33.82500041007996,0.0,0.0,4.454545454545454,3.4615384615384617,33.82500041007996,,,,,,,cuda,ppo_lstm_seed99,full,1
93,292113,0.006962481245864183,136.5055708885193,0.0971381920389831,0.017012894750223495,40.41500067234039,0.0,0.0,5.068965517241379,3.8636363636363638,40.41500067234039,,,,,,,cuda,ppo_lstm_seed99,full,1
94,295254,0.00044020943460054696,144.08283615112305,0.10675136069767177,0.01043159071559785,34.04000034809113,0.0,0.0,5.321428571428571,4.121212121212121,34.04000034809113,,,,,,,cuda,ppo_lstm_seed99,full,1
95,298395,-0.001161419160780497,297.75160443782806,0.10830422793515027,0.008372135038371198,33.63000038146973,0.045454545454545456,0.0,4.714285714285714,3.6744186046511627,19.99363674510609,,,,,,,cuda,ppo_lstm_seed99,full,1
96,301536,0.009131639875704423,124.87444996833801,0.10032017389312387,0.0165204162185546,39.350000610351564,0.0,0.0,4.260869565217392,3.5238095238095237,39.350000610351564,24.643750000000004,0.0,0.0,4.0,4.565217391304348,24.643750000000004,cuda,ppo_lstm_seed99,full,1
97,304677,0.0004222835923428647,365.0794765949249,0.11321033048443496,0.031966333619493525,34.48500026702881,0.0,0.0,4.904761904761905,4.040816326530612,34.48500026702881,,,,,,,cuda,ppo_lstm_seed99,full,1
98,307818,-0.004569606095174095,134.76884627342224,0.09861419186927378,0.003581662054784829,37.14000056743622,0.0,0.0,4.869565217391305,3.9318181818181817,37.14000056743622,,,,,,,cuda,ppo_lstm_seed99,full,1
99,310959,0.008087278194579994,122.02405846118927,0.08584891958162189,0.013744628005952109,38.70500065803528,0.0,0.0,5.0,4.0476190476190474,38.70500065803528,,,,,,,cuda,ppo_lstm_seed99,full,1
100,314100,-0.00014518143143504858,148.2249665260315,0.09744144813157618,0.007387177938653622,39.095000834465026,0.0,0.0,4.607142857142857,4.255813953488372,39.095000834465026,,,,,,,cuda,ppo_lstm_seed99,full,1
101,317241,0.0008321500863530673,142.71341967582703,0.0949070923961699,0.006178367024403997,45.40500084877014,0.0,0.0,4.777777777777778,4.095238095238095,45.40500084877014,,,,,,,cuda,ppo_lstm_seed99,full,1
102,320382,-0.006711280002491549,172.71825647354126,0.09972227388061583,0.0059097423509228975,38.21000054359436,0.0,0.0,4.608695652173913,3.96,38.21000054359436,,,,,,,cuda,ppo_lstm_seed99,full,1
103,323523,-0.0031278702881536447,136.28283071517944,0.09072748012840748,0.005238180714513874,40.75500065803528,0.0,0.0,4.714285714285714,3.627906976744186,40.75500065803528,,,,,,,cuda,ppo_lstm_seed99,full,1
104,326664,-0.006904278619913384,171.08246684074402,0.09906648402102292,0.005864971612027148,37.6250004529953,0.0,0.0,4.5,3.392156862745098,37.6250004529953,,,,,,,cuda,ppo_lstm_seed99,full,1
105,329805,0.003477911464869976,144.0654296875,0.08406324114184827,0.007655802633962594,37.86000069141388,0.0,0.0,5.0,4.05,37.86000069141388,,,,,,,cuda,ppo_lstm_seed99,full,1
106,332946,-0.004828420118428767,154.55011916160583,0.09580502845346928,0.013386461847403552,37.590000433921816,0.0,0.0,4.8,3.7916666666666665,37.590000433921816,,,,,,,cuda,ppo_lstm_seed99,full,1
107,336087,0.004441826604306698,136.97258806228638,0.09372995211742818,0.01952005819475744,42.47000080108643,0.0,0.0,4.5625,3.8947368421052633,42.47000080108643,,,,,,,cuda,ppo_lstm_seed99,full,1
108,339228,-0.0025660821120254695,146.62783288955688,0.10423799464479089,0.00496955608468852,31.330000314712525,0.0,0.0,4.842105263157895,3.717391304347826,31.330000314712525,,,,,,,cuda,ppo_lstm_seed99,full,1
109,342369,-0.010219887015409768,123.18432641029358,0.09451315156184137,0.004745702244690619,37.59000054359436,0.0,0.0,5.0,3.7291666666666665,37.59000054359436,,,,,,,cuda,ppo_lstm_seed99,full,1
110,345510,0.0045826401328668,139.9749220609665,0.08778085885569453,0.011237464626901783,42.82500085353851,0.0,0.0,4.6875,3.7,42.82500085353851,,,,,,,cuda,ppo_lstm_seed99,full,1
111,348651,-0.0005015550832467852,138.40229392051697,0.09428987326100469,0.009939112234860659,29.54000030517578,0.0,0.0,5.0,3.8378378378378377,29.54000030517578,,,,,,,cuda,ppo_lstm_seed99,full,1
112,351792,0.0034480686954339035,160.79452395439148,0.0950994964223355,0.007655802612134721,33.765000638961794,0.0,0.0,4.684210526315789,4.0227272727272725,33.765000638961794,24.682812500000004,0.0,0.0,4.0,4.565217391304348,24.682812500000004,cuda,ppo_lstm_seed99,full,1
113,354933,-0.000390497109037824,319.2239441871643,0.1089337368030101,0.011729943202226423,36.870000505447386,0.0,0.0,4.454545454545454,3.7555555555555555,36.870000505447386,,,,,,,cuda,ppo_lstm_seed99,full,1
114,358074,0.003713591242558323,166.3442575931549,0.10417665680870414,0.009715258282085415,36.12500082850456,0.0,0.0,4.964285714285714,4.230769230769231,36.12500082850456,,,,,,,cuda,ppo_lstm_seed99,full,1
115,361215,0.011701175128109753,126.78495478630066,0.08507195208221674,0.014505731181998271,34.47500039100647,0.0,0.0,4.9,4.1521739130434785,34.47500039100647,,,,,,,cuda,ppo_lstm_seed99,full,1
116,364356,-0.001862073064330616,130.2027440071106,0.07911966741085052,0.0033578081856830977,39.630000700950625,0.0,0.0,5.0,3.925,39.630000700950625,,,,,,,cuda,ppo_lstm_seed99,full,1
117,367497,-0.0033852743945317343,120.69866609573364,0.07726045046001673,0.002954871186375385,37.755000553131104,0.0,0.0,4.769230769230769,3.975,37.755000553131104,,,,,,,cuda,ppo_lstm_seed99,full,1
118,370638,-0.001235918587553897,128.06218934059143,0.08616842294577509,0.005775430028734263,36.66500043392181,0.0,0.0,5.045454545454546,3.717391304347826,36.66500043392181,,,,,,,cuda,ppo_lstm_seed99,full,1
119,373779,-0.0009704919357318431,155.90560865402222,0.0874409768730402,0.00783488572051283,39.69000052928924,0.0,0.0,4.708333333333333,3.784313725490196,39.69000052928924,,,,,,,cuda,ppo_lstm_seed99,full,1
120,376920,0.0003444976537139155,148.93669724464417,0.08510439633391798,0.014908668308635242,34.295000352859496,0.0,0.0,4.863636363636363,4.022222222222222,34.295000352859496,,,,,,,cuda,ppo_lstm_seed99,full,1
121,380061,-0.001233316317666322,142.78357529640198,0.08780094096437097,0.005327722312358674,33.755000343322756,0.0,0.0,4.55,4.0227272727272725,33.755000343322756,,,,,,,cuda,ppo_lstm_seed99,full,1
122,383202,-0.003789351525483653,134.0446584224701,0.09084688406437635,0.006805157870985568,39.04500069618225,0.0,0.0,4.586206896551724,3.945945945945946,39.04500069618225,,,,,,,cuda,ppo_lstm_seed99,full,1
123,386343,-0.0022055851586628705,137.6728699207306,0.09126535803079605,0.008595988907472929,38.675000734329224,0.0,0.0,4.6923076923076925,3.5,38.675000734329224,,,,,,,cuda,ppo_lstm_seed99,full,1
124,389484,0.0034865075067500584,146.43512892723083,0.10111404722556472,0.010342049157770816,36.855000581741336,0.0,0.0,4.571428571428571,3.8297872340425534,36.855000581741336,,,,,,,cuda,ppo_lstm_seed99,full,1
125,392625,-0.0011996657121926546,150.6548445224762,0.10335305356420577,0.005462034619995393,31.220000314712525,0.0,0.0,5.166666666666667,3.9782608695652173,31.220000314712525,,,,,,,cuda,ppo_lstm_seed99,full,1
126,395766,0.0006760411761206342,147.96018624305725,0.09586101630702615,0.006536533262988087,36.70500060081482,0.0,0.0,4.571428571428571,3.9130434782608696,36.70500060081482,,,,,,,cuda,ppo_lstm_seed99,full,1
